system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,m95_factor,mass_ceiling_mjup,mass_95_mjup,inc_floor_deg,t_max_yr
HIP 65407,HIP 65407 b,0.428,True,1.0,5.758770483143634,2.64884166317073,2.464753766785475,1.1337042318370725,10.0,7700.209140585983
HIP 65407,HIP 65407 c,0.784,True,1.0,5.758770483143634,2.64884166317073,4.514876058784609,2.0766918639258525,10.0,7700.209140585983
HD 147873,HD 147873 b,5.14,True,1.0,5.758770483143634,2.6151142667761795,29.600080283358274,13.441687331229563,10.0,31922.256418629822
HD 147873,HD 147873 c,2.3,True,1.0,5.758770483143634,2.6151142667761795,13.245172111230357,6.014762813585213,10.0,31922.256418629822
HD 94890,HD 94890 b,2.13,True,1.0,8.205509048125078,2.7589382646795926,17.477734272506417,5.876538503767532,7.0,225766.00743298494
HD 94890,HD 94890 c,8.91,True,1.0,8.205509048125078,2.7589382646795926,73.11108561879445,24.58213993829517,7.0,225766.00743298494
HIP 111909,HIP 111909 b,1.21,True,1.0,4.283657569731186,2.3390037142659996,5.183225659374735,2.8301944942618595,13.5,133355.3022058664
HIP 111909,HIP 111909 c,0.81,True,1.0,4.283657569731186,2.3390037142659996,3.4697626314822605,1.8945930085554599,13.5,133355.3022058664
HD 96700,HD 96700 b,0.02800253,True,1.0,9.566772233505626,2.9192912173278067,0.2678938264719083,0.08174753989195843,6.000000000000001,2224.3677512997842
HD 96700,HD 96700 c,0.01101223,True,1.0,9.566772233505626,2.9192912173278067,0.10535149619297765,0.03214790632219379,6.000000000000001,2224.3677512997842
HD 96700,HD 96700 d,0.03995867,True,1.0,9.566772233505626,2.9192912173278067,0.3822754946438143,0.11665099438710011,6.000000000000001,2224.3677512997842
HD 141399,HD 141399 b,0.451,True,0.9,9.566772233505626,2.80927971299145,4.314614277311037,1.266985150559144,6.000000000000001,25856.274933714758
HD 141399,HD 141399 c,1.33,True,0.9,9.566772233505626,2.80927971299145,12.723807070562483,3.7363420182786284,6.000000000000001,25856.274933714758
HD 141399,HD 141399 d,1.18,True,0.9,9.566772233505626,2.80927971299145,11.288791235536637,3.314950061329911,6.000000000000001,25856.274933714758
HD 141399,HD 141399 e,0.66,True,0.9,9.566772233505626,2.80927971299145,6.314069674113713,1.854124610574357,6.000000000000001,25856.274933714758
GJ 229,GJ 229 A c,0.027,True,0.8,,2.840909090909092,,0.07670454545454548,,33383.359233643074
GJ 229,GJ 229 b,0.047,True,0.8,,2.840909090909092,,0.13352272727272732,,33383.359233643074
HD 108874,HD 108874 b,1.42,True,1.0,,3.141983151876895,,4.461616075665191,,108003.11981778078
HD 108874,HD 108874 c,0.99,True,1.0,,3.141983151876895,,3.1105633203581258,,108003.11981778078
HD 142,HD 142 A d,0.26,True,0.95,,3.2025630761017436,,0.8326663997864534,,29692.824285605493
HD 142,HD 142 b,7.1,False,0.95,,3.2025630761017436,,,,29692.824285605493
HD 142,HD 142 c,10.901,False,0.95,,3.2025630761017436,,,,29692.824285605493
GJ 849,GJ 849 b,0.893,True,1.0,,3.156793548996442,,2.8190166392538227,,527121.4118695377
GJ 849,GJ 849 c,0.99,True,1.0,,3.156793548996442,,3.1252256135064775,,527121.4118695377
61 Vir,61 Vir b,0.016,True,0.95,,3.171823353363727,,0.05074917365381963,,1154.0046743889404
61 Vir,61 Vir c,0.057,True,0.95,,3.171823353363727,,0.18079393114173245,,1154.0046743889404
61 Vir,61 Vir d,0.072,True,0.95,,3.171823353363727,,0.22837128144218832,,1154.0046743889404
HD 125612,HD 125612 c,0.049,True,1.0,,3.2025630761017436,,0.15692559072898543,,1137.4844331742806
