system,planet,msini_mjup,swept,ceiling_factor,mass_ceiling_mjup,inc_floor_deg,t_max_yr
Kepler-48,Kepler-48 d,0.025,False,,,,13081.451706519376
Kepler-48,Kepler-48 e,2.067,False,,,,13081.451706519376
Kepler-48,Kepler-48 f,0.93944088,True,,,,13081.451706519376
HD 158259,HD 158259 b,0.00698487,False,,,,5963.039310526636
HD 158259,HD 158259 c,0.01761948,True,,,,5963.039310526636
HD 158259,HD 158259 d,0.01702168,True,,,,5963.039310526636
HD 158259,HD 158259 e,0.01912972,True,,,,5963.039310526636
HD 158259,HD 158259 f,0.0193185,True,,,,5963.039310526636
TOI-5789,TOI-5789 b,0.00667027,True,,,,7566.570847931265
TOI-5789,TOI-5789 c,0.01573176,False,,,,7566.570847931265
TOI-5789,TOI-5789 d,0.01349785,True,,,,7566.570847931265
TOI-5789,TOI-5789 e,0.03652915,True,,,,7566.570847931265
DMPP-6,DMPP-6 b,0.01824884,True,,,,20815.05830488355
DMPP-6,DMPP-6 c,0.04238136,True,,,,20815.05830488355
HD 39194,HD 39194 b,0.01453615,True,,,,15433.04602543892
HD 39194,HD 39194 c,0.02356618,True,,,,15433.04602543892
HD 39194,HD 39194 d,0.01623518,True,,,,15433.04602543892
Kepler-129,Kepler-129 b,0.06292704,False,,,,43230.665527359066
Kepler-129,Kepler-129 c,0.13529313,False,,,,43230.665527359066
Kepler-129,Kepler-129 d,8.3,True,,,,43230.665527359066
