system,planet,msini_mjup,swept,ceiling_factor,mass_ceiling_mjup,inc_floor_deg,t_max_yr
HD 141399,HD 141399 e,0.66,True,11.473713245669856,7.572650742142105,5.0,25856.27281312731
HD 125612,HD 125612 c,0.049,True,,,,1137.4839594011155
HD 125612,HD 125612 b,2.974,True,,,,1137.4839594011155
HD 125612,HD 125612 d,7.178,False,,,,1137.4839594011155
HD 108874,HD 108874 b,1.42,True,,,,108003.09577007074
HD 108874,HD 108874 c,0.99,True,,,,108003.09577007074
GJ 849,GJ 849 b,0.893,True,,,,527121.3901123691
GJ 849,GJ 849 c,0.99,True,,,,527121.3901123691
HD 60532,HD 60532 b,1.06,True,11.473713245669856,12.162136040410049,5.0,55277.22367857448
HD 60532,HD 60532 c,2.51,True,11.473713245669856,28.799020246631336,5.0,55277.22367857448
Kepler-20,Kepler-20 b,0.03051961,False,2.6694671625540143,,22.0,1011.9386673319888
Kepler-20,Kepler-20 e,0.00239123,False,2.6694671625540143,,22.0,1011.9386673319888
Kepler-20,Kepler-20 c,0.03492451,False,2.6694671625540143,,22.0,1011.9386673319888
Kepler-20,Kepler-20 f,0.00440489,False,2.6694671625540143,,22.0,1011.9386673319888
Kepler-20,Kepler-20 g,0.06280087,True,2.6694671625540143,0.1676448602448235,22.0,1011.9386673319888
Kepler-20,Kepler-20 d,0.04216111,False,2.6694671625540143,,22.0,1011.9386673319888
HD 48948,HD 48948 b,0.0153542,True,,,,2009.6184608848632
HD 48948,HD 48948 c,0.02287398,True,,,,2009.6184608848632
HD 48948,HD 48948 d,0.03331987,True,,,,2009.6184608848632
TOI-1062,TOI-1062 b,0.03193547,False,,,,1126.067486544187
TOI-1062,TOI-1062 c,0.03077132,True,,,,1126.067486544187
HD 33142,HD 33142 d,0.2,True,,,,24613.282128978182
HD 33142,HD 33142 b,1.26,True,,,,24613.282128978182
HD 33142,HD 33142 c,0.89,True,,,,24613.282128978182
HD 27894,HD 27894 b,0.619,True,11.473713245669856,7.102228499069641,5.0,4933.441713520013
HD 27894,HD 27894 c,0.162,True,11.473713245669856,1.8587415457985168,5.0,4933.441713520013
HD 27894,HD 27894 d,6.493,False,11.473713245669856,,5.0,4933.441713520013
HD 50499,HD 50499 b,1.636,True,11.473713245669856,18.770994869915885,5.0,669979.5773247133
HD 50499,HD 50499 c,2.93,True,11.473713245669856,33.61797980981268,5.0,669979.5773247133
HD 164922,HD 164922 d,0.01258534,True,,,,3410.81533661422
HD 164922,HD 164922 e,0.0331,True,,,,3410.81533661422
HD 164922,HD 164922 c,0.04090237,True,,,,3410.81533661422
HD 164922,HD 164922 b,0.36497499,True,,,,3410.81533661422
HD 1605,HD 1605 b,0.934,True,,,,158028.79179532843
HD 1605,HD 1605 c,3.62,True,,,,158028.79179532843
GJ 667 C,GJ 667 C b,0.01789,True,3.627955278543301,0.06490411993313965,15.999999999999996,1972.073941626745
GJ 667 C,GJ 667 C c,0.012,True,3.627955278543301,0.04353546334251961,15.999999999999996,1972.073941626745
GJ 667 C,GJ 667 C f,0.008,True,3.627955278543301,0.029023642228346407,15.999999999999996,1972.073941626745
